"add","day","month","year","pm25_highway","pm25_city"
"Minneapolis-St. Paul, MN",18,10,2001,7.87979431737933,7.92425442593438
"Minneapolis-St. Paul, MN",18,10,2002,8.41806121458087,8.38413421937398
"Minneapolis-St. Paul, MN",18,10,2003,9.35235826592696,9.27111787966319
"Minneapolis-St. Paul, MN",18,10,2004,3.89330276690031,4.43060097013201
"Minneapolis-St. Paul, MN",18,10,2005,9.01764799000924,8.94057583127703
"Minneapolis-St. Paul, MN",18,10,2006,5.08619748918634,5.25524702583041
"Minneapolis-St. Paul, MN",18,10,2007,4.120523496678,4.18041286298207
"Minneapolis-St. Paul, MN",18,10,2008,9.99744092372426,10.4178639956883
"Minneapolis-St. Paul, MN",18,10,2009,7.03102684439274,6.99945005689348
"Minneapolis-St. Paul, MN",18,10,2010,6.79498301054302,6.85644309861319
"Minneapolis-St. Paul, MN",18,10,2011,2.19115481042025,2.12636955508164
"Minneapolis-St. Paul, MN",18,10,2012,4.17808306008054,4.32651723878724
"Minneapolis-St. Paul, MN",18,10,2013,2.86395574034306,2.82588435879775
"Minneapolis-St. Paul, MN",18,10,2014,6.25901956202691,6.10885393023491
"Minneapolis-St. Paul, MN",18,10,2015,11.9270205163119,11.4646916185107
"Minneapolis-St. Paul, MN",18,10,2016,4.24081642795027,4.03025426098279
"Minneapolis-St. Paul, MN",18,11,2000,11.3755904666164,12.2319842542921
"Minneapolis-St. Paul, MN",18,11,2001,13.7332380027102,13.5539548601423
"Minneapolis-St. Paul, MN",18,11,2002,16.1051312413132,16.939239859581
"Minneapolis-St. Paul, MN",18,11,2003,6.9607318702497,7.06575095142637
"Minneapolis-St. Paul, MN",18,11,2004,15.6896225360402,15.6130224977221
"Minneapolis-St. Paul, MN",18,11,2005,6.64379739761353,6.80151684965406
"Minneapolis-St. Paul, MN",18,11,2006,15.5258682736179,15.4855308396476
"Minneapolis-St. Paul, MN",18,11,2007,14.5287480019687,14.2037213223321
"Minneapolis-St. Paul, MN",18,11,2008,6.73967447615506,6.77387451274054
"Minneapolis-St. Paul, MN",18,11,2009,11.9395541977464,11.7777677059174
"Minneapolis-St. Paul, MN",18,11,2010,6.54500569795307,6.67983622040067
"Minneapolis-St. Paul, MN",18,11,2011,7.40523428665964,7.65529950346265
"Minneapolis-St. Paul, MN",18,11,2012,16.4026453118575,16.1644376277924
"Minneapolis-St. Paul, MN",18,11,2013,3.02760184961453,3.10466835669109
"Minneapolis-St. Paul, MN",18,11,2014,6.45867009330214,6.352438091806
"Minneapolis-St. Paul, MN",18,11,2015,2.99790508391564,2.72802730415549
"Minneapolis-St. Paul, MN",18,11,2016,4.51334245790515,4.3993747481278
"Minneapolis-St. Paul, MN",18,12,2000,12.5849673455222,12.3835886682783
"Minneapolis-St. Paul, MN",18,12,2001,8.9878908667648,9.16880883148738
"Minneapolis-St. Paul, MN",18,12,2002,10.7221618535226,10.3252337966646
"Minneapolis-St. Paul, MN",18,12,2003,11.1636777593378,11.1075491973332
"Minneapolis-St. Paul, MN",18,12,2004,7.9404814870734,8.02254237958363
"Minneapolis-St. Paul, MN",18,12,2005,3.56162453952589,4.0348625089441
"Minneapolis-St. Paul, MN",18,12,2006,9.63122011485853,9.76762689862933
"Minneapolis-St. Paul, MN",18,12,2007,18.5048614468491,18.787494461877
"Minneapolis-St. Paul, MN",18,12,2008,29.8388542041444,29.3919460092272
"Minneapolis-St. Paul, MN",18,12,2009,43.9042961722926,42.9376029423305
"Minneapolis-St. Paul, MN",18,12,2010,10.7912955702397,11.1019355501447
"Minneapolis-St. Paul, MN",18,12,2011,8.0110063887479,7.6951592530523
"Minneapolis-St. Paul, MN",18,12,2012,24.7744103481895,24.0892359392984
"Minneapolis-St. Paul, MN",18,12,2013,9.56098149115579,10.1323245661599
"Minneapolis-St. Paul, MN",18,12,2014,12.780194449843,12.2744485821043
"Minneapolis-St. Paul, MN",18,12,2015,5.67251151904725,5.49298655986786
"Minneapolis-St. Paul, MN",18,12,2016,9.58170801714847,9.23021556820188
"Minneapolis-St. Paul, MN",18,2,2000,23.72840352644,23.8655001027243
"Minneapolis-St. Paul, MN",18,2,2001,18.5290532865022,19.0879910400936
"Minneapolis-St. Paul, MN",18,2,2002,10.7028169882925,10.4824715988977
"Minneapolis-St. Paul, MN",18,2,2003,16.589982894429,16.6128342764718
"Minneapolis-St. Paul, MN",18,2,2004,30.604178445381,32.2107753753662
"Minneapolis-St. Paul, MN",18,2,2005,8.3808395946235,8.64236714839935
"Minneapolis-St. Paul, MN",18,2,2006,6.50749655355487,6.66449791874204
"Minneapolis-St. Paul, MN",18,2,2007,8.9090671455651,9.03299787044525
"Minneapolis-St. Paul, MN",18,2,2008,5.36622959270812,5.51469108377184
"Minneapolis-St. Paul, MN",18,2,2009,7.38995670854,7.39638150589807
"Minneapolis-St. Paul, MN",18,2,2010,17.2763632054914,17.1203600270408
"Minneapolis-St. Paul, MN",18,2,2011,6.12313740713555,5.98059214694159
"Minneapolis-St. Paul, MN",18,2,2012,8.05583443558007,7.54262387922832
"Minneapolis-St. Paul, MN",18,2,2013,9.16613319882175,9.40049279757908
"Minneapolis-St. Paul, MN",18,2,2014,9.5390823263871,10.8626574737685
"Minneapolis-St. Paul, MN",18,2,2015,10.8600993072777,10.4496689864567
"Minneapolis-St. Paul, MN",18,2,2016,14.7303413424576,14.4196798528944
"Minneapolis-St. Paul, MN",18,3,2000,20.3234654476768,20.4672312327794
"Minneapolis-St. Paul, MN",18,3,2001,22.6458364453232,23.9432209832328
"Minneapolis-St. Paul, MN",18,3,2002,25.525274360389,25.0649535655975
"Minneapolis-St. Paul, MN",18,3,2003,30.1406186254401,29.1953144277845
"Minneapolis-St. Paul, MN",18,3,2004,15.0361458293179,14.892748260498
"Minneapolis-St. Paul, MN",18,3,2005,11.74548254515,12.0385608877454
"Minneapolis-St. Paul, MN",18,3,2006,11.2606482840421,11.3368595668248
"Minneapolis-St. Paul, MN",18,3,2007,12.169667637139,12.1830366373062
"Minneapolis-St. Paul, MN",18,3,2008,16.4572787786785,16.6086038657597
"Minneapolis-St. Paul, MN",18,3,2009,8.82298083054392,8.6295884336744
"Minneapolis-St. Paul, MN",18,3,2010,4.87312866930376,4.80317061543465
"Minneapolis-St. Paul, MN",18,3,2011,6.94367935782985,7.24750184672219
