"month","year","pm25","add","date"
"01","2010",9.82092106205044,"Charleston-North Charleston, SC",2010-01-01
"02","2010",8.02789694608201,"Myrtle Beach-Socastee, SC-NC",2010-02-01
"02","2010",10.2621183726252,"College Station-Bryan, TX",2010-02-01
"02","2010",8.20498798711604,"Charleston-North Charleston, SC",2010-02-01
"03","2010",7.43653603910373,"Myrtle Beach-Socastee, SC-NC",2010-03-01
"03","2010",9.41211946622201,"College Station-Bryan, TX",2010-03-01
"03","2010",8.41989981875697,"Charleston-North Charleston, SC",2010-03-01
"04","2010",9.19775592837479,"Myrtle Beach-Socastee, SC-NC",2010-04-01
"04","2010",11.1223859511986,"College Station-Bryan, TX",2010-04-01
"04","2010",9.6946118793064,"Charleston-North Charleston, SC",2010-04-01
